date,estimate,actual
2018-05-21,0,0
2018-05-22,0,0
2018-05-23,0,0
2018-05-24,0,0
2018-05-25,0,0
2018-05-28,1.5,1.5
2018-05-29,0.5,0.5
2018-05-31,0,0
2018-06-01,1,0.5
2018-06-04,0.5,1
2018-06-05,1,1.5
2018-06-07,0,0
2018-06-08,0.5,0.5
2018-06-11,1.5,0
2018-06-12,0.5,0.5
2018-06-13,0,0
2018-06-14,1,1
2018-06-15,1,1
2018-06-18,0,0
2018-06-19,1,1
2018-06-20,1,1.5
2018-06-21,1,0.5
2018-06-22,1,1.5
2018-06-25,0,0
2018-06-26,1.5,2.5
2018-06-27,1,2
2018-06-28,0,0
2018-06-29,1,1.5
2018-07-02,1.5,3
2018-07-03,2,2
2018-07-04,1,2
2018-07-05,2,2
2018-07-09,2.5,3.5
2018-07-10,3,2.5
2018-07-11,3,3.5
2018-07-12,0,0
2018-07-13,0,0
2018-07-17,2,1.5
2018-07-18,2,0.5
2018-07-19,2,2
2018-07-20,0,0
2018-07-23,2,1
2018-07-24,0,0
2018-07-25,2,2.5
2018-07-26,2,2
2018-07-27,1.5,1.5
2018-07-30,0,0
2018-07-31,1.5,1.5


2018-08-01,0,0
2018-08-02,1,2
2018-08-03,1.5,1.5
2018-08-06,1,1
2018-08-07,1.5,2
2018-08-08,1.5,0
2018-08-09,2,2
2018-08-10,2,1
2018-08-16,2,1
2018-08-17,2,1.5
2018-08-20,2,3
2018-08-21,1,2
2018-08-22,0,0
2018-08-23,0,0
2018-08-24,1,0
2018-08-27,2,1
2018-08-28,1,2.5
2018-08-29,1,1
2018-08-30,3,3
2018-08-31,1,1

2018-09-03,4,3.5
2018-09-04,2.5,2.5
2018-09-05,2.5,3
2018-09-06,3,4
2018-09-07,0.5,0.5

2018-09-10,2,4.5
2018-09-11,4.5,4.5
2018-09-12,5,5
2018-09-13,5,5.5
2018-09-14,5.5,5.5
2018-09-15,12,10.5
2018-09-16,12,7

2018-09-18,4,4.5
2018-09-19,5,5
2018-09-20,4,4
2018-09-21,4,4.5
2018-09-22,12,12
2018-09-23,5,7
2018-09-25,4,4
2018-09-26,4,3.5
2018-09-27,4,4.5
2018-09-28,4.5,5
2018-10-01,4,4.5
2018-10-02,3,4
2018-10-03,4,4.5
2018-10-04,3,4.5
2018-10-05,4,5
2018-10-09,4,4.5
2018-10-10,3,4
2018-10-11,3,3
2018-10-12,4,3
2018-10-16,3,4
2018-10-17,3,2
2018-10-18,2,0.5
2018-10-19,1,1
2018-10-22,1.5,1.5
